No;Question;English;bahasa
1;Did you study English yesterday at school?;I studied English yesterday at school.;Saya belajar bahasa Inggris kemarin di sekolah.
2;Were the math problems solved by you last night?;The math problems were solved by me last night.;Masalah matematika diselesaikan oleh saya tadi malam.
3;Do you always enjoy learning new things?;I always enjoy learning new things.;Saya selalu menikmati belajar hal -hal baru.
4;Can anyone deny your commitment to education?;No one can deny my commitment to education.;Tidak ada yang bisa menyangkal komitmen saya terhadap pendidikan.
5;Will you attend the science fair tomorrow?;I will attend the science fair tomorrow.;Saya akan menghadiri Science Fair besok.
6;Is a book being read by you right now?;A book is being read by me right now.;Sebuah buku sedang dibaca oleh saya sekarang.
7;Did you clean the classroom after the lecture ended?;I cleaned the classroom after the lecture ended.;Saya membersihkan ruang kelas setelah kuliah berakhir.
8;Will the history project be completed by you next week?;The history project will be completed by me next week.;Proyek sejarah akan selesai oleh saya minggu depan.
9;Do you find chemistry fascinating?;I find chemistry fascinating.;Saya menemukan chemistry menarik.
10;Have you ever skipped a class?;I have never skipped a class.;Saya tidak pernah melewatkan kelas.
11;Will you participate in the upcoming debate?;I will participate in the upcoming debate.;Saya akan berpartisipasi dalam debat yang akan datang.
12;Was the basketball game won by your team last Friday?;The basketball game was won by our team last Friday.;Pertandingan bola basket dimenangkan oleh tim kami Jumat lalu.
13;Do you often ask questions during lessons?;I often ask questions during lessons.;Saya sering mengajukan pertanyaan selama pelajaran.
14;Is your homework always finished on time?;My homework is always finished on time.;Pekerjaan rumah saya selalu selesai tepat waktu.
15;Did you attend a workshop on creative writing?;I attended a workshop on creative writing.;Saya menghadiri lokakarya tentang penulisan kreatif.
16;Will English literature be studied by you next semester?;English literature will be studied by me next semester.;Sastra Inggris akan dipelajari oleh saya semester depan.
17;Does the school cafeteria serve delicious food?;The school cafeteria serves delicious food.;Kafetaria sekolah menyajikan makanan lezat.
18;Do you enjoy science experiments?;I enjoy science experiments.;Saya menikmati eksperimen sains.
19;Are you a fan of early morning classes?;I am not a fan of early morning classes.;Saya bukan penggemar kelas pagi.
20;Will you join the photography club in the future?;I will join the photography club in the future.;Saya akan bergabung dengan klub fotografi di masa depan.
21;Is chemistry more challenging than biology for you?;Chemistry is more challenging than biology.;Kimia lebih menantang daripada biologi.
22;If you study hard, will you get good grades?;If I study hard, I'll get good grades.;Jika saya belajar keras, saya akan mendapatkan nilai bagus.
23;Will you attend the art class tomorrow?;I will not attend the art class tomorrow.;Saya tidak akan menghadiri kelas seni besok.
24;Do you wish you had more time for extracurricular activities?;I wish I had more time for extracurricular activities.;Saya berharap saya memiliki lebih banyak waktu untuk kegiatan ekstrakurikuler.
25;Do you love reading books more than watching TV?;I love reading books more than watching TV.;Saya lebih suka membaca buku daripada menonton TV.
26;If it rains, will the outdoor event be canceled for you?;If it rains, the outdoor event will be canceled.;Jika hujan, acara luar ruangan akan dibatalkan.
27;Did you finish your homework before dinner?;I finished my homework before dinner.;Saya menyelesaikan pekerjaan rumah saya sebelum makan malam.
28;Have you ever been late for a class?;I have never been late for a class.;Saya belum pernah terlambat untuk kelas.
